#Age   [M/H] slope  CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD    TiO1   TiO2    HdA    HgA   HdF    HgF   D4000   CaT*   PaT    CaT    sTiO   MgI   D_CO
#===========================================================================================================================================================================================================================---------------------
 3.55 -1.71  0.30 -0.130 -0.034  0.160  0.691 -0.031  0.274  1.069 -0.270  3.646  1.781  0.001  0.039  0.720  0.618  0.594  0.281  0.294  0.091  0.999  0.016  0.009  5.643  3.518  4.063  3.610  1.629  4.421  1.399  5.722  0.959  0.279  1.105
 3.98 -1.71  0.30 -0.129 -0.033  0.179  0.867  0.058  0.286  1.098 -0.291  3.516  1.796  0.001  0.039  0.750  0.636  0.599  0.280  0.294  0.091  0.972  0.016  0.008  5.395  3.186  3.891  3.405  1.635  4.363  1.342  5.611  0.957  0.273  1.102
 4.47 -1.71  0.30 -0.129 -0.033  0.197  1.020  0.138  0.296  1.121 -0.316  3.396  1.806  0.000  0.040  0.769  0.650  0.602  0.279  0.294  0.089  0.954  0.016  0.008  5.172  2.888  3.735  3.223  1.640  4.317  1.289  5.516  0.955  0.269  1.100
 5.01 -1.71  0.30 -0.128 -0.032  0.216  1.191  0.237  0.307  1.147 -0.334  3.261  1.817  0.000  0.039  0.778  0.667  0.607  0.278  0.295  0.089  0.930  0.015  0.007  4.902  2.530  3.559  3.007  1.631  4.269  1.221  5.405  0.953  0.264  1.098
 5.62 -1.71  0.30 -0.126 -0.030  0.237  1.399  0.390  0.327  1.188 -0.332  3.097  1.846  0.000  0.040  0.808  0.704  0.629  0.289  0.300  0.095  0.920  0.015  0.006  4.546  2.121  3.326  2.747  1.630  4.259  1.128  5.309  0.952  0.263  1.096
 6.31 -1.71  0.30 -0.126 -0.030  0.257  1.568  0.490  0.339  1.214 -0.348  2.958  1.860  0.000  0.041  0.826  0.722  0.635  0.290  0.301  0.095  0.906  0.015  0.006  4.280  1.730  3.154  2.523  1.626  4.239  1.049  5.214  0.951  0.261  1.094
 7.08 -1.71  0.30 -0.126 -0.029  0.275  1.736  0.600  0.351  1.240 -0.359  2.826  1.873  0.000  0.041  0.844  0.743  0.643  0.291  0.303  0.096  0.890  0.014  0.005  3.998  1.366  2.972  2.297  1.624  4.219  0.971  5.122  0.950  0.258  1.092
 7.94 -1.71  0.30 -0.126 -0.029  0.294  1.903  0.699  0.364  1.267 -0.368  2.702  1.888  0.000  0.042  0.862  0.765  0.653  0.295  0.306  0.097  0.879  0.014  0.004  3.712  1.072  2.770  2.084  1.623  4.210  0.894  5.042  0.949  0.257  1.089
 8.91 -1.71  0.30 -0.125 -0.028  0.312  2.035  0.817  0.377  1.290 -0.367  2.599  1.897  0.000  0.043  0.886  0.788  0.668  0.302  0.309  0.101  0.873  0.014  0.004  3.445  0.775  2.605  1.896  1.620  4.197  0.830  4.969  0.948  0.255  1.087
10.00 -1.71  0.30 -0.125 -0.028  0.330  2.122  0.881  0.380  1.294 -0.389  2.521  1.886  0.000  0.041  0.855  0.790  0.667  0.298  0.307  0.097  0.862  0.014  0.003  3.285  0.646  2.480  1.771  1.612  4.159  0.781  4.885  0.946  0.253  1.084
11.22 -1.71  0.30 -0.126 -0.029  0.346  2.227  0.959  0.387  1.308 -0.401  2.440  1.888  0.000  0.042  0.865  0.802  0.674  0.299  0.307  0.097  0.860  0.013  0.003  3.147  0.641  2.326  1.655  1.607  4.130  0.734  4.813  0.946  0.252  1.082
12.59 -1.71  0.30 -0.126 -0.029  0.361  2.302  1.020  0.393  1.316 -0.411  2.381  1.882  0.001  0.043  0.879  0.812  0.682  0.301  0.307  0.096  0.861  0.013  0.002  3.022  0.449  2.243  1.545  1.604  4.116  0.700  4.767  0.945  0.252  1.080
14.13 -1.71  0.30 -0.131 -0.033  0.369  2.209  1.044  0.382  1.292 -0.437  2.398  1.847  0.001  0.039  0.775  0.790  0.671  0.293  0.301  0.090  0.864  0.013  0.002  3.111  0.611  2.318  1.638  1.592  4.121  0.748  4.816  0.944  0.250  1.078
