10.  -2.0 -0.1063E+00 -0.6071E-01  0.1939E+00  0.7812E+00  0.3677E+00  0.2455E+00  0.8286E+00 -0.2180E+00  0.2898E+01  0.1351E+01 -0.1618E-02  0.2841E-01  0.7080E+00  0.3276E+00  0.5373E+00  0.2076E+00  0.1868E+00 -0.2835E-01  0.8019E+00  0.1604E-01  0.4789E-02  0.4673E+01  0.2653E+01  0.3573E+01  0.2984E+01
12.  -2.0 -0.9995E-01 -0.5296E-01  0.1931E+00  0.9593E+00  0.5365E+00  0.2667E+00  0.8501E+00 -0.8412E-01  0.2693E+01  0.1405E+01  0.1754E-02  0.2386E-01  0.5462E+00  0.3972E+00  0.5798E+00  0.2424E+00  0.2118E+00 -0.8705E-02  0.8401E+00  0.1615E-01  0.5591E-02  0.4531E+01  0.2576E+01  0.3444E+01  0.2780E+01
 1.  -1.5 -0.2116E+00 -0.1237E+00 -0.9659E-01 -0.2200E+01 -0.1639E+01 -0.7691E-01  0.2191E+00 -0.4248E+00  0.5786E+01  0.6530E+00  0.9794E-02  0.2211E-01  0.5382E+00 -0.1505E+00  0.1398E+00 -0.2734E-02  0.1507E+00 -0.3007E-01  0.7787E+00  0.1437E-01 -0.8887E-03  0.8959E+01  0.8732E+01  0.6759E+01  0.6762E+01
 2.  -1.5 -0.1445E+00 -0.8100E-01  0.1042E+00  0.2292E-01 -0.3090E+00  0.2068E+00  0.9165E+00 -0.3253E+00  0.4063E+01  0.1494E+01  0.5286E-02  0.3598E-01  0.8076E+00  0.4941E+00  0.4784E+00  0.2037E+00  0.2827E+00  0.9426E-01  0.7505E+00  0.1419E-01  0.1761E-02  0.6676E+01  0.5369E+01  0.4890E+01  0.4642E+01
 3.  -1.5 -0.1323E+00 -0.7506E-01  0.1772E+00  0.4129E+00 -0.7055E-01  0.2524E+00  0.1028E+01 -0.3570E+00  0.3813E+01  0.1578E+01  0.4751E-02  0.4064E-01  0.9052E+00  0.5619E+00  0.5226E+00  0.2247E+00  0.2850E+00  0.1042E+00  0.7859E+00  0.1454E-01  0.2723E-02  0.6009E+01  0.4547E+01  0.4434E+01  0.4183E+01
 5.  -1.5 -0.1028E+00 -0.5707E-01  0.2969E+00  0.1355E+01  0.5508E+00  0.3594E+00  0.1257E+01 -0.2996E+00  0.3094E+01  0.1801E+01  0.6167E-02  0.4911E-01  0.1054E+01  0.7455E+00  0.6397E+00  0.2945E+00  0.3148E+00  0.1386E+00  0.8489E+00  0.1516E-01  0.4909E-02  0.4309E+01  0.2385E+01  0.3351E+01  0.2944E+01
10.  -1.5 -0.6296E-01 -0.2737E-01  0.4301E+00  0.2527E+01  0.1345E+01  0.5123E+00  0.1586E+01 -0.8243E-01  0.2228E+01  0.2199E+01  0.1152E-01  0.5761E-01  0.1019E+01  0.1020E+01  0.8227E+00  0.4303E+00  0.3801E+00  0.2025E+00  0.9479E+00  0.1740E-01  0.1138E-01  0.2722E+01  0.2692E+00  0.2123E+01  0.1520E+01
12.  -1.5 -0.9262E-01 -0.4478E-01  0.3513E+00  0.1640E+01  0.9595E+00  0.4313E+00  0.1408E+01 -0.6657E-01  0.2722E+01  0.2053E+01  0.1442E-01  0.6046E-01  0.1090E+01  0.9210E+00  0.7846E+00  0.4171E+00  0.3687E+00  0.1936E+00  0.9907E+00  0.1830E-01  0.1307E-01  0.4111E+01  0.1894E+01  0.3207E+01  0.2539E+01
 1.  -1.0 -0.2053E+00 -0.1224E+00  0.6026E-01 -0.1738E+01 -0.1111E+01  0.3394E-01  0.6855E+00 -0.6947E+00  0.5859E+01  0.1172E+01  0.9514E-02  0.3876E-01  0.7605E+00  0.3366E+00  0.2814E+00  0.1068E+00  0.2525E+00  0.1156E+00  0.8787E+00  0.1478E-01  0.6985E-03  0.9291E+01  0.9064E+01  0.6707E+01  0.6820E+01
 2.  -1.0 -0.1119E+00 -0.5789E-01  0.3624E+00  0.1375E+01  0.8639E+00  0.5090E+00  0.1651E+01  0.2186E+00  0.3491E+01  0.2454E+01  0.2056E-01  0.7269E-01  0.1307E+01  0.1186E+01  0.8968E+00  0.5205E+00  0.4929E+00  0.3254E+00  0.1071E+01  0.1664E-01  0.9969E-02  0.5033E+01  0.3434E+01  0.3876E+01  0.3568E+01
